pink-red,pink-orange,pink-yellow,pink-green,pink-blue,pink-purple,red-orange,red-yellow,red-green,red-blue,red-purple,orange-yellow,orange-green,orange-blue,orange-purple,yellow-green,yellow-blue,yellow-purple,green-blue,green-purple,blue-purple,average,var,std
1.11,1.22,0.94,1.67,1.57,1.92,0.08,0.14,0.62,2.29,0.91,0.41,0.54,2.61,0.98,0.32,0.31,0.59,1.14,0.26,1.32,1.0,0.48,0.69
1.59,1.39,0.62,2.63,4.49,2.26,0.8,1.25,2.3,3.38,1.58,0.79,1.25,3.12,0.83,2.01,3.87,1.4,1.73,0.24,1.96,1.88,1.17,1.08
0.54,1.34,0.01,1.47,2.09,2.21,1.12,0.76,1.88,2.35,2.22,0.86,1.02,1.62,3.4,1.34,2.12,3.0,0.63,4.38,4.93,1.87,1.47,1.21
0.89,0.52,0.58,1.19,2.26,3.82,0.41,0.5,0.36,1.41,3.46,0.32,0.32,1.85,1.42,0.3,1.72,2.17,1.52,1.85,3.19,1.43,1.11,1.05
0.65,0.33,1.23,0.65,2.08,0.33,0.37,0.88,0.96,1.86,0.11,0.88,0.36,2.23,0.58,1.89,0.74,0.33,2.7,1.35,1.73,1.06,0.53,0.73
0.7,2.15,0.64,1.88,1.69,2.81,0.94,1.05,1.23,0.41,2.84,1.4,0.59,0.5,1.21,0.37,0.76,1.29,0.1,1.8,1.28,1.22,0.55,0.74
0.12,0.5,1.26,0.77,1.78,0.17,0.35,2.46,0.94,1.91,1.36,1.05,1.46,2.33,1.22,0.08,0.63,0.57,0.91,0.25,1.2,1.02,0.46,0.68
3.16,0.49,0.37,2.14,1.14,1.77,2.05,2.48,1.01,4.11,4.06,0.14,0.02,2.18,1.9,1.05,1.6,2.55,2.53,3.31,3.28,1.97,1.4,1.18
0.1,0.9,0.15,0.64,2.79,1.18,0.56,2.33,0.29,2.99,1.51,0.45,0.06,3.54,0.24,0.22,2.6,0.25,3.57,0.11,3.93,1.35,1.76,1.33
1.27,0.87,2.61,2.29,1.86,2.01,0.43,0.34,0.3,1.14,1.66,1.29,0.31,1.53,1.02,0.49,2.3,0.96,1.59,1.51,2.74,1.36,0.55,0.74
1.85,0.6,1.52,0.57,0.62,0.21,2.58,0.38,2.25,2.62,2.25,0.62,0.67,0.43,0.69,0.99,1.2,0.87,0.2,0.36,0.84,1.06,0.59,0.77
1.74,1.48,2.95,1.33,2.87,1.37,2.85,3.31,1.3,4.16,0.33,0.21,0.22,1.47,2.68,1.63,0.11,2.96,1.69,1.1,4.21,1.9,1.46,1.21
1.58,0.73,1.36,0.93,3.62,1.64,1.58,0.01,1.9,4.0,0.78,0.46,1.2,2.6,1.15,0.92,2.15,0.24,1.34,0.4,2.45,1.48,1.03,1.01
3.76,2.0,5.11,4.71,2.97,0.41,1.83,3.11,2.57,3.4,3.93,4.11,3.46,2.89,2.37,0.1,2.63,4.66,2.36,4.01,1.94,2.97,1.62,1.27

